65	59.2928205128	18.0846153846	1485	Arenaslingan 7, 121 77 Johanneshov, Sweden
66	59.2928205128	18.088974359	1511	Skärmarbrinksvägen 2-4, 121 35 Johanneshov, Sweden
67	59.2928205128	18.0933333333	1619	Garagevägen, 121 48 Johanneshov, Sweden
68	59.2928205128	18.0976923077	1696	Lidköpingsvägen 8, 121 39 Johanneshov, Sweden
69	59.2928205128	18.1020512821	1772	Boråsvägen 26, 121 48 Johanneshov, Sweden
70	59.2928205128	18.1064102564	1818	Vänersborgsvägen 19-21, 121 39 Johanneshov, Sweden
71	59.2928205128	18.1107692308	1862	Ystadsvägen 41, 121 49 Johanneshov, Sweden
72	59.2928205128	18.1151282051	1970	Malmövägen 51, 121 53 Johanneshov, Sweden
73	59.2928205128	18.1194871795	2039	Karlskronavägen 45, 121 52 Johanneshov, Sweden
74	59.2928205128	18.1238461538	2030	Älta, Sweden
75	59.2928205128	18.1282051282	2084	Unnamed Road, Johanneshov, Sweden
76	59.2928205128	18.1325641026	2135	Unnamed Road, Johanneshov, Sweden
77	59.2928205128	18.1369230769	2189	Unnamed Road, Johanneshov, Sweden
78	59.2928205128	18.1412820513	2273	Älta, Sweden
79	59.2928205128	18.1456410256	2227	Ältavägen 99, 131 33 Nacka, Sweden
80	59.2928205128	18.15	2226	Ältavägen 99, 131 33 Nacka, Sweden
81	59.2956410256	17.98	2384	Sedelvägen 46A, 129 32 Hägersten, Sweden
82	59.2956410256	17.9843589744	2343	Sparbanksvägen 46-48, 129 30 Hägersten, Sweden
83	59.2956410256	17.9887179487	2012	Träsnidavägen, 126 38 Hägersten, Sweden
84	59.2956410256	17.9930769231	1944	Spikvägen 7-9, 126 38 Hägersten, Sweden
85	59.2956410256	17.9974358974	1878	Klensmedsvägen 10, 126 37 Hägersten, Sweden
86	59.2956410256	18.0017948718	1799	Mikrofonvägen 28, 126 37 Hägersten, Sweden
87	59.2956410256	18.0061538462	1770	Cirkusvägen 6, 126 31 Hägersten, Sweden
88	59.2956410256	18.0105128205	1726	Elektravägen 40G, 126 30 Hägersten, Sweden
89	59.2956410256	18.0148717949	1771	Drivhjulsvägen 41, 126 30 Hägersten, Sweden
90	59.2956410256	18.0192307692	1725	Drivhjulsvägen 17, 126 30 Hägersten, Sweden
91	59.2956410256	18.0235897436	1839	Transportvägen 9, 117 43 Stockholm, Sweden
92	59.2956410256	18.0279487179	1899	Partihandlarvägen 47, 120 44 Årsta, Sweden
93	59.2956410256	18.0323076923	1842	Frukthandlarvägen, 120 44 Årsta, Sweden
94	59.2956410256	18.0366666667	N/A	N/A
95	59.2956410256	18.041025641	1578	Hammarbytunneln, 120 57 Årsta, Sweden
96	59.2956410256	18.0453846154	1672	Sandfjärdsgatan 17, 120 57 Årsta, Sweden
97	59.2956410256	18.0497435897	1764	Årstatunneln, Årsta, Sweden
98	59.2956410256	18.0541025641	1630	Årstavägen 31, 120 52 Årsta, Sweden
99	59.2956410256	18.0584615385	1703	Borensvägen 20, 120 52 Årsta, Sweden
100	59.2956410256	18.0628205128	1567	Slätbaksvägen 28, 120 51 Årsta, Sweden
101	59.2956410256	18.0671794872	1451	Bolmensvägen 47, 120 50 Årsta, Sweden
102	59.2956410256	18.0715384615	N/A	N/A
103	59.2956410256	18.0758974359	N/A	N/A
104	59.2956410256	18.0802564103	1513	Arenagången, 121 77 Johanneshov, Sweden
105	59.2956410256	18.0846153846	1454	Arenavägen, 121 47 Johanneshov, Sweden
106	59.2956410256	18.088974359	1527	Pelargatan 13, 121 47 Johanneshov, Sweden
107	59.2956410256	18.0933333333	1562	Nathorstvägen 40-44, 121 37 Johanneshov, Sweden
108	59.2956410256	18.0976923077	1718	Finn Malmgrens väg 3C, 121 38 Johanneshov, Sweden
109	59.2956410256	18.1020512821	1763	Finn Malmgrens plan 6, 121 38 Johanneshov, Sweden
110	59.2956410256	18.1064102564	1816	Finn Malmgrens väg 41-43, Johanneshov, Sweden
111	59.2956410256	18.1107692308	1836	Läckövägen 17, 121 50 Johanneshov, Sweden
112	59.2956410256	18.1151282051	1940	Lyckebyvägen 22, 121 52 Johanneshov, Sweden
113	59.2956410256	18.1194871795	1954	Karlskronavägen 23-31, 121 52 Johanneshov, Sweden
114	59.2956410256	18.1238461538	1843	Karlskronavägen 33, 121 52 Johanneshov, Sweden
115	59.2956410256	18.1282051282	2071	Unnamed Road, Johanneshov, Sweden
116	59.2956410256	18.1325641026	2102	Unnamed Road, Johanneshov, Sweden
117	59.2956410256	18.1369230769	2270	Älta, Sweden
118	59.2956410256	18.1412820513	2134	Dammtorp, 131 33 Nacka, Sweden
119	59.2956410256	18.1456410256	2108	Dammtorp, 131 33 Nacka, Sweden
120	59.2956410256	18.15	2353	Källbacksvägen 12, 131 33 Nacka, Sweden
121	59.2984615385	17.98	2129	Vinstvägen 4, 129 34 Hägersten, Sweden
122	59.2984615385	17.9843589744	2202	Förskottsvägen 12, 129 32 Hägersten, Sweden
123	59.2984615385	17.9887179487	2053	Mobilgatan 5-8, 126 26 Hägersten, Sweden
124	59.2984615385	17.9930769231	2064	Dialoggatan 17, 126 37 Hägersten, Sweden
125	59.2984615385	17.9974358974	1923	Telefonplan T-bana, 126 37 Hägersten, Sweden
126	59.2984615385	18.0017948718	1810	Flygelgatan, 126 37 Hägersten, Sweden
127	59.2984615385	18.0061538462	1711	E20, 126 31 Hägersten, Sweden
128	59.2984615385	18.0105128205	1653	Karusellvägen 7, 126 31 Hägersten, Sweden
129	59.2984615385	18.0148717949	1663	Vretensborgsvägen 28, 126 30 Hägersten, Sweden
130	59.2984615385	18.0192307692	1677	Elektravägen 1, 126 30 Hägersten, Sweden
